tag,exam,TOTAL_1,TOTAL_2,TOTAL_3,TOTAL_4,TOTAL_5,TOTAL_ALL,MALE_1,MALE_2,MALE_3,MALE_4,MALE_5,MALE_ALL,FEMALE_1,FEMALE_2,FEMALE_3,FEMALE_4,FEMALE_5,FEMALE_ALL,GENDER_ANOTHER_1,GENDER_ANOTHER_2,GENDER_ANOTHER_3,GENDER_ANOTHER_4,GENDER_ANOTHER_5,GENDER_ANOTHER_ALL,AMIND_1,AMIND_2,AMIND_3,AMIND_4,AMIND_5,AMIND_ALL,ASIAN_1,ASIAN_2,ASIAN_3,ASIAN_4,ASIAN_5,ASIAN_ALL,BLACK_1,BLACK_2,BLACK_3,BLACK_4,BLACK_5,BLACK_ALL,HISPANIC_1,HISPANIC_2,HISPANIC_3,HISPANIC_4,HISPANIC_5,HISPANIC_ALL,NHPI_1,NHPI_2,NHPI_3,NHPI_4,NHPI_5,NHPI_ALL,TWOMORE_1,TWOMORE_2,TWOMORE_3,TWOMORE_4,TWOMORE_5,TWOMORE_ALL,WHITE_1,WHITE_2,WHITE_3,WHITE_4,WHITE_5,WHITE_ALL
AFE teachers,Computer Science A,2013,722,1150,956,950,5791,1469,539,855,741,763,4367,535,177,288,209,182,1391,9,6,7,6,5,33,12,1,6,3,3,25,388,193,341,331,393,1646,333,68,82,37,34,554,668,174,251,156,91,1340,3,,4,,,7,83,36,58,52,40,269,482,229,378,345,349,1783
AFE teachers,Computer Science Principles,4705,4736,5385,2859,1273,18958,2810,3015,3606,1904,864,12199,1842,1664,1731,942,392,6571,53,57,48,13,17,188,46,49,29,12,4,140,336,628,1121,857,429,3371,998,673,472,164,31,2338,2119,1784,1467,545,172,6087,15,5,14,5,1,40,135,178,238,139,70,760,879,1291,1883,1042,503,5598
AFE teachers,Computer Science A or Principles,6718,5458,6535,3815,2223,24749,4279,3554,4461,2645,1627,16566,2377,1841,2019,1151,574,7962,62,63,55,19,22,221,58,50,35,15,7,165,724,821,1462,1188,822,5017,1331,741,554,201,65,2892,2787,1958,1718,701,263,7427,18,5,18,5,1,47,218,214,296,191,110,1029,1361,1520,2261,1387,852,7381
csa pd all time,Computer Science A,545,217,385,352,375,1874,380,158,302,266,297,1403,161,54,82,84,74,455,4,5,1,2,4,16,2,,4,1,,7,107,62,94,131,154,548,78,14,17,8,3,120,147,24,37,27,28,263,2,,,1,,3,16,8,21,18,17,80,179,104,199,152,158,792
csa pd all time,Computer Science Principles,868,1194,1786,1255,655,5758,567,785,1209,858,437,3856,294,391,563,385,214,1847,7,18,14,12,4,55,11,8,11,6,5,41,76,159,342,327,208,1112,187,170,118,39,15,529,283,312,286,130,58,1069,1,1,,1,2,5,28,54,72,71,45,270,228,460,879,647,287,2501
csa pd all time,Computer Science A or Principles,1413,1411,2171,1607,1030,7632,947,943,1511,1124,734,5259,455,445,645,469,288,2302,11,23,15,14,8,71,13,8,15,7,5,48,183,221,436,458,362,1660,265,184,135,47,18,649,430,336,323,157,86,1332,3,1,,2,2,8,44,62,93,89,62,350,407,564,1078,799,445,3293
csp pd all time,Computer Science A,5588,2446,4623,4531,5844,23032,3973,1818,3397,3390,4486,17064,1579,615,1205,1116,1331,5846,36,13,21,25,27,122,44,6,24,14,21,109,1376,786,1632,1834,2748,8376,758,137,186,113,88,1282,1445,384,569,440,390,3228,8,6,5,4,6,29,226,124,218,235,291,1094,1589,932,1823,1714,2000,8058
csp pd all time,Computer Science Principles,11090,12895,18595,12431,6224,61235,6757,8277,12305,8248,4221,39808,4229,4475,6152,4113,1958,20927,104,143,138,70,45,500,120,111,114,60,22,427,957,1946,4115,3808,2286,13112,2230,1466,1146,402,113,5357,4352,3757,3670,1556,531,13866,27,17,34,15,5,98,381,552,859,626,329,2747,2537,4635,7991,5463,2590,23216
csp pd all time,Computer Science A or Principles,16678,15341,23218,16962,12068,84267,10730,10095,15702,11638,8707,56872,5808,5090,7357,5229,3289,26773,140,156,159,95,72,622,164,117,138,74,43,536,2333,2732,5747,5642,5034,21488,2988,1603,1332,515,201,6639,5797,4141,4239,1996,921,17094,35,23,39,19,11,127,607,676,1077,861,620,3841,4126,5567,9814,7177,4590,31274
heavy_union_audit,Computer Science A,6436,3045,5709,5685,7130,28005,4586,2253,4227,4264,5509,20839,1815,784,1454,1393,1595,7041,35,8,28,28,26,125,43,13,32,21,23,132,1705,1039,2024,2179,3298,10245,731,156,224,142,105,1358,1614,445,672,532,441,3704,10,5,10,5,8,38,248,143,272,280,351,1294,1926,1162,2264,2304,2526,10182
heavy_union_audit,Computer Science Principles,12778,15706,24060,16502,8665,77711,7909,10192,16081,11104,5861,51147,4756,5361,7810,5304,2741,25972,113,153,169,94,63,592,143,132,156,82,30,543,1143,2457,5447,5082,3290,17419,2370,1604,1326,503,146,5949,4946,4390,4338,1927,674,16275,38,24,42,19,8,131,457,642,1139,855,442,3535,3108,5949,10737,7357,3608,30759
heavy_union_audit,Computer Science A or Principles,19214,18751,29769,22187,15795,105716,12495,12445,20308,15368,11370,71986,6571,6145,9264,6697,4336,33013,148,161,197,122,89,717,186,145,188,103,53,675,2848,3496,7471,7261,6588,27664,3101,1760,1550,645,251,7307,6560,4835,5010,2459,1115,19979,48,29,52,24,16,169,705,785,1411,1135,793,4829,5034,7111,13001,9661,6134,40941