country_user_geos,iso_country
åland,"åland islands"
brunei,"brunei darussalam"
cape verde,"cabo verde"
cocos [keeling] islands,"cocos (keeling) islands"
dr congo,"congo, democratic republic of"
congo,"congo, democratic republic of"
republic of the congo,"congo, republic of"
congo republic,"congo, republic of"
czech republic,"czechia"
swaziland,"eswatini"
federated states of micronesia,"micronesia, federated states of"
ivory coast,"côte d'ivoire"
hashemite kingdom of jordan,"jordan"
republic of lithuania,"lithuania"
republic of moldova,"moldova, republic of"
myanmar [burma],"myanmar"
the netherlands,"netherlands"
macedonia,"north macedonia"
st kitts and nevis,"saint kitts and nevis"
st vincent and grenadines,"saint vincent and the grenadines"
slovak republic,"slovakia"
republic of korea,"south korea"
democratic republic of timor-leste,"timor-leste"
east timor,"timor-leste"
turkey,"türkiye"
principality of monaco,"monaco"