versioned_course_id,versioned_course_name,course_name_short,course_name_long
14,csd-2017,csd,CS Discoveries
15,csp-2017,csp,CS Principles
22,csd-2018,csd,CS Discoveries
23,csp-2018,csp,CS Principles
32,csd-2019,csd,CS Discoveries
33,csp-2019,csp,CS Principles
44,csd-2020,csd,CS Discoveries
42,csp-2020,csp,CS Principles
46,csd-2021,csd,CS Discoveries
47,csp-2021,csp,CS Principles
64,csd-2022,csd,CS Discoveries
57,csp-2022,csp,CS Principles
58,csa-2022,csa,Computer Science A
48,csa-2021-pilot,csa,Computer Science A