script_id,stage_number
310,17
363,12
19,3
363,6
303,4
363,14
259,8
363,26
258,7
363,20
1,19
363,4
239,13
363,18
363,24
23,9
363,8
371,3
297,11
363,9
357,8
371,5
357,16
18,3
363,5
371,1
371,7
357,5
19,21
363,7
363,25
237,10
363,16
258,26
363,21
357,2
357,7
357,10
357,1
371,4
303,20
363,15
363,23
357,3
357,13
341,14
363,13
371,2
371,6
363,2
363,27
363,1
239,2
363,17
302,17
363,11
357,12
357,15
357,9
363,3
371,8
241,13
363,19
357,4
302,2
363,10
310,20
360,4
19,5
366,11
303,14
360,6
259,13
361,4
258,14
360,13
1,2
366,7
240,11
360,11
361,2
297,4
366,13
361,11
301,11
366,15
369,10
361,13
370,9
17,7
366,10
361,7
361,16
369,8
23,2
366,12
361,3
303,37
360,8
258,30
360,14
369,4
369,9
370,4
369,2
361,12
303,33
360,7
361,1
369,5
370,7
341,16
360,5
361,9
361,15
366,5
361,6
366,4
237,13
360,9
309,13
360,2
370,5
370,8
370,3
366,6
361,17
241,17
360,12
369,6
302,5
366,16
310,16
18,8
303,13
241,23
259,14
239,4
17,3
297,7
307,2
18,4
237,7
19,8
258,19
341,13
303,31
238,12
302,15
240,17
307,15
309,16
18,10
303,17
258,6
259,10
239,15
17,4
23,18
301,10
371,10
18,6
237,4
19,11
258,25
371,11
310,22
303,35
371,9
238,10
302,7
241,14
371,12
307,5
310,19
18,11
241,22
303,2
239,5
23,11
297,14
259,11
1,13
236,9
17,14
341,15
19,12
258,18
303,18
302,8
238,6
240,19
307,6
19,7
309,18
303,6
258,8
239,12
297,6
259,7
17,5
301,13
303,45
23,6
18,7
310,23
258,28
238,2
303,22
302,6
240,16
307,3
309,19
18,17
258,4
303,9
239,9
23,10
297,12
360,16
1,7
303,36
17,10
341,4
19,15
258,23
303,26
302,9
237,11
240,12
307,8
19,6
309,15
303,5
258,2
239,6
23,7
259,4
1,15
297,10
236,4
23,3
17,16
310,21
258,22
238,3
303,21
302,19
241,11
302,4
19,2
310,15
241,20
303,12
239,17
23,16
1,17
19,17
17,18
237,8
301,9
238,13
258,17
341,12
303,30
302,14
240,14
307,14
309,22
18,19
258,13
303,11
239,11
23,15
301,7
1,9
236,10
19,16
17,11
341,11
303,29
258,29
238,8
302,12
241,16
307,12
309,20
241,24
303,8
239,8
18,16
23,12
1,11
19,14
17,13
236,6
301,2
238,5
258,20
341,7
303,24
302,10
240,18
307,9
309,21
18,13
241,19
303,15
239,3
23,14
301,5
1,5
236,12
19,13
17,8
363,22
341,9
303,34
258,15
238,9
302,11
240,20
307,10