state_abbreviation,state_name
HI,Hawaii
OH,Ohio
MN,Minnesota
WA,Washington
AR,Arkansas
NE,Nebraska
IL,Illinois
SD,South Dakota
AZ,Arizona
NC,North Carolina
IN,Indiana
RI,Rhode Island
CT,Connecticut
WV,West Virginia
NM,New Mexico
UT,Utah
LA,Louisiana
FL,Florida
ND,North Dakota
WI,Wisconsin
SC,South Carolina
ME,Maine
DE,Delaware
WY,Wyoming
NV,Nevada
VA,Virginia
MD,Maryland
AK,Alaska
MO,Missouri
IA,Iowa
OK,Oklahoma
CA,California
NJ,New Jersey
KS,Kansas
TX,Texas
GA,Georgia
NY,New York
MI,Michigan
VT,Vermont
CO,Colorado
MT,Montana
KY,Kentucky
PA,Pennsylvania
DC,District of Columbia
NH,New Hampshire
MA,Massachusetts
TN,Tennessee
AL,Alabama
MS,Mississippi
ID,Idahomain
OR,Oregon