workshop_id,state_workshop,zip_workshop
616730,New York,10011
247013,TX,75032
268974,IL,60601
598987,TX,78069
484747,FL,32803
612322,AR,72012
4295,WA,98164
596979,PA,17603
709145,NY,11758
823667,CA,95113
967,TX,78741
552659,WA,98195
612772,Maryland,21202
2791,TX,75601
603341,ID,83725
488575,TX,79409
3026,FL,32209
228904,AR,72035
712104,TX,75028
3077,PA,19003
519344,NJ,07052
735,CA,92821
680422,Texas,76020
528832,WA,98102
1510,MO,63114
3756,TX,75001
3228,IL,60016
508707,TX,75125
3034,FL,32209
847458,TX,76020
2215,AZ,83201
614544,Pennsylvania,17603
1074,FL,33324
1728,TX,76006
1349,NY,10018
528337,WA,98102
632532,New York,12601
305211,TX,75135
612312,Indiana,47274
609144,TX,79409
622674,Florida,32137
5307,WA,98164
2216,AZ,83201
345116,PA,18901
1498,FL,32771
611674,TN,37998
334531,OH,45040
1384,MO,63114
4643,TX,75001
597957,TX,78073
2815,IL,60201
3030,FL,32206
527328,WA,98102
345129,AR,72701
313039,PA,18032
508685,TN,37128
345264,CA,91331
2432,NS,92020
693686,New York,10011
3364,TX,77701
502291,TX,75007
612778,KS,66502
611669,GA,30307
767,WA,98115
234959,AR,72701
1787,RI,02818
1953,TX,75104
5346,CA,91324
200095,CA,97132
356152,MO,64068
344632,TX,76048
609150,TX,79409
3405,IL,60187
311855,FL,33767
774592,TX,75080
604331,AR,72765
714661,PA,17603
1727,TX,76006
613084,CA,95113
2652,NY,10003
627803,New York,10011
251427,TX,75043
605254,TX,76001
671153,IN,46140
612808,FL,33332
4612,WA,98164
256314,AR,72033
516182,PA,15143
632,TX,73301
271876,CA,94587
849443,NY,10011
3855,TX,75023
328321,NC,27330
515860,TX,78722
3683,IL,60901
4293,WA,98164
441799,FL,33143
631,TX,73301
562904,AR,72701
507677,PA,18901
365490,CA,91108
82028,NY,10011
328724,NC,27330
3757,TX,75001
509133,TX,75901
206362,IL,60119
481913,FL,33767
734,NV,89502
1551,AZ,85031
612306,TN,37830
490179,PA,18964
620260,California,93311
218969,NY,10011
1954,TX,76063
612308,LA,70806
401375,TX,75080
612291,GA,30076
612785,TX,76226
2105,FL,33314
565670,RI,2881
214038,AR,72032
1165,PA,19096
226873,AZ,85203
1345,NJ,07670
612297,NC,28208
107714,TX,76543
598518,TX,75080
268973,IL,60601
484700,FL,32803
1231,VA,23238
611425,AR,72476
804,TX,73301
571714,PA,17603
751633,CA,95113
607166,NY,10011